fecha,hora,latitude,longitude,depth,mag
1945-06-20,06:00:00.000,-15.6,-74.8,60,4.3
1945-06-26,05:00:00.000,-15.6,-74.8,60,4.3
1945-07-07,16:25:00.000,-16.5,-72.1,30,3.3
1945-07-10,01:02:00.000,-12,-77.8,50,4.3
1945-07-13,13:28:00.000,-16.5,-72.1,15,3.6
1945-07-14,21:30:00.000,-12,-77.8,40,4.3
1945-07-18,06:32:36.000,-16.608,-72.222,70,4.6
1945-07-21,08:30:00.000,-11.8,-77.6,40,4.6
1945-07-23,10:25:00.000,-17.9,-70.3,30,3.5
1945-07-26,14:20:00.000,-13,-76.2,80,4.7
1945-08-04,00:00:00.000,-5.85,-77,30,4.1
1945-08-07,10:30:00.000,-15.6,-74.8,90,4.2
1945-08-07,20:15:00.000,-13,-76.2,80,4.7
1945-08-10,04:23:00.000,-12.8,-77.4,90,5
1945-08-10,08:47:00.000,-17,-71.1,30,3.7
1945-08-16,18:15:00.000,-12,-77.8,40,4.3
1945-08-19,05:30:26.000,-11,-76,30,4.4
1945-08-20,06:00:00.000,-15.6,-74.8,90,4.7
1945-08-21,16:29:37.000,-11.565,-76.1,150,6.8
1945-08-30,06:25:00.000,-8.6,-79.6,60,4.8
1945-09-05,08:25:00.000,-18.1,-70,30,3.7
1945-09-09,09:30:00.000,-14.5,-76,40,4.2
1945-09-09,12:56:20.000,-15.248,-76.281,40,6.1
1945-09-13,18:00:00.000,-9.6,-78.6,70,4.1
1945-09-16,15:56:00.000,-17,-71.2,30,3.8
1945-09-21,10:34:00.000,-12,-77.8,40,4.3
1945-09-22,13:10:00.000,-5.5,-80.9,50,4
1945-09-23,11:05:00.000,-13,-76.2,80,4.2
1945-09-25,17:45:00.000,-13,-76.2,80,4.7
1945-09-29,04:27:46.000,-6.436,-77.125,20,6.1
1945-09-30,01:43:00.000,-16.5,-72.1,35,3.3
1945-10-01,03:15:00.000,-6.2,-77.3,40,3.8
1945-10-01,05:15:00.000,-6.47,-77.17,40,3.6
1945-10-02,22:43:00.000,-16.2,-71.8,30,3.7
1945-10-05,00:30:00.000,-12,-77.8,40,4.6
1945-10-05,04:15:00.000,-6.47,-77.17,40,4.4
1945-10-05,11:15:00.000,-6.47,-77.17,40,4.1
1945-10-08,04:05:00.000,-12,-77.8,40,4.3
1945-10-17,16:50:00.000,-17,-72.2,60,4.1
1945-10-20,12:00:00.000,-12.1,-77.6,30,4.5
1945-10-21,12:45:00.000,-10.8,-78.2,50,4
1945-10-24,21:15:00.000,-3.5,-80.7,40,3.6
1945-10-28,07:20:00.000,-17,-70.9,35,3.2
1945-10-31,10:23:00.000,-3.5,-80.7,40,4.1
1945-11-06,02:35:00.000,-7.3,-78.5,20,3.3
1945-11-12,15:34:00.000,-14.9,-75.1,90,4.9
1945-11-21,17:00:00.000,-12.5,-76.3,100,5
1945-11-21,18:55:00.000,-13.3,-76.2,90,4.4
1945-11-22,07:07:00.000,-13.6,-76.6,60,4.4
1945-11-26,01:03:58.000,-11,-69,700,6.1
